Requested File,Lifetime
13,12
35,12
31,2
8,2
22,12
4,12
25,12
8,2
24,2
8,2
13,12
9,2
23,2
24,2
23,2
25,12
15,5
2,12
1,12
21,2
31,2
21,2
23,2
2,12
1,12
2,12
4,12
9,2
4,12
21,2
24,2
5,12
13,12
35,12
25,12
24,2
15,5
24,2
29,7
5,12
1,12
35,12
24,2
24,2
1,12
36,6
31,2
8,2
1,12
24,2
22,12
24,2
24,2
5,12
24,2
24,2
23,2
4,12
22,12
24,2
24,2
9,2
31,2
5,12
25,12
9,2
9,2
24,2
25,12
12,10
31,2
8,2
12,10
9,2
1,12
21,2
9,2
9,2
9,2
21,2
23,2
24,2
17,8
4,12
25,12
5,12
9,2
35,12
13,12
9,2
21,2
9,2
24,2
21,2
22,12
5,12
24,2
35,12
13,12
21,2
25,12
2,12
25,12
2,12
13,12
4,12
24,2
21,2
36,6
9,2
23,2
4,12
2,12
8,2
13,12
4,12
31,2
21,2
1,12
24,2
25,12
4,12
13,12
24,2
22,12
9,2
31,2
18,9
1,12
4,12
21,2
21,2
9,2
25,12
31,2
9,2
6,8
21,2
9,2
8,2
1,12
4,12
24,2
24,2
9,2
5,12
31,2
4,12
26,12
21,2
9,2
24,2
22,12
4,12
13,12
18,9
16,13
8,2
22,12
4,12
9,2
2,12
40,5
21,2
1,12
14,6
24,2
9,2
39,10
40,5
10,4
2,12
31,2
8,2
7,3
21,2
22,12
9,2
25,12
9,2
1,12
32,6
25,12
5,12
23,2
9,2
24,2
28,11
17,8
9,2
25,12
4,12
31,2
9,2
22,12
24,2
13,12
21,2
24,2
2,12
35,12
24,2
22,12
35,12
23,2
37,11
25,12
35,12
9,2
4,12
23,2
24,2
1,12
8,2
31,2
2,12
25,12
4,12
24,2
18,9
9,2
24,2
34,6
8,2
31,2
35,12
1,12
5,12
1,12
13,12
9,2
35,12
13,12
21,2
15,5
13,12
13,12
5,12
13,12
2,12
22,12
21,2
24,2
4,12
40,5
21,2
13,12
5,12
32,6
24,2
33,9
21,2
31,2
5,12
22,12
35,12
23,2
24,2
23,2
1,12
31,2
21,2
22,12
35,12
23,2
35,12
13,12
24,2
31,2
10,4
24,2
4,12
1,12
24,2
13,12
1,12
31,2
4,12
25,12
35,12
25,12
2,12
23,2
8,2
36,6
33,9
25,12
2,12
25,12
9,2
31,2
33,9
22,12
39,10
9,2
24,2
1,12
35,12
22,12
8,2
25,12
9,2
25,12
4,12
31,2
4,12
31,2
8,2
23,2
4,12
38,5
2,12
1,12
21,2
11,10
8,2
22,12
9,2
22,12
21,2
9,2
37,11
5,12
4,12
9,2
2,12
22,12
24,2
23,2
19,10
24,2
4,12
1,12
24,2
25,12
9,2
22,12
8,2
25,12
34,6
23,2
4,12
24,2
24,2
23,2
5,12
9,2
39,10
22,12
35,12
22,12
2,12
22,12
21,2
24,2
9,2
32,6
2,12
5,12
2,12
13,12
32,6
22,12
4,12
22,12
2,12
28,11
21,2
24,2
5,12
31,2
24,2
25,12
2,12
9,2
35,12
9,2
35,12
13,12
21,2
29,7
4,12
24,2
8,2
13,12
24,2
13,12
21,2
31,2
21,2
23,2
5,12
1,12
2,12
24,2
4,12
9,2
22,12
22,12
8,2
31,2
24,2
1,12
35,12
9,2
5,12
25,12
21,2
1,12
40,5
40,5
35,12
1,12
2,12
13,12
20,10
10,4
5,12
2,12
8,2
24,2
4,12
22,12
9,2
20,10
35,12
24,2
40,5
23,2
8,2
23,2
21,2
24,2
2,12
1,12
24,2
29,7
21,2
13,12
5,12
23,2
21,2
24,2
5,12
23,2
2,12
1,12
24,2
14,6
8,2
1,12
4,12
23,2
35,12
13,12
5,12
13,12
5,12
39,10
35,12
20,10
5,12
24,2
35,12
23,2
21,2
9,2
8,2
13,12
8,2
22,12
5,12
25,12
31,2
24,2
8,2
23,2
20,10
1,12
35,12
24,2
4,12
9,2
2,12
31,2
24,2
25,12
8,2
9,2
4,12
32,6
24,2
22,12
14,6
24,2
21,2
24,2
8,2
23,2
4,12
13,12
5,12
1,12
4,12
24,2
24,2
22,12
8,2
9,2
18,9
36,6
6,8
1,12
35,12
23,2
9,2
23,2
5,12
25,12
4,12
31,2
5,12
25,12
35,12
31,2
4,12
23,2
21,2
22,12
8,2
29,7
5,12
22,12
35,12
9,2
27,6
13,12
2,12
31,2
20,10
1,12
39,10
25,12
8,2
24,2
21,2
9,2
17,8
9,2
35,12
1,12
9,2
23,2
9,2
25,12
35,12
22,12
5,12
13,12
21,2
23,2
9,2
25,12
21,2
13,12
21,2
25,12
5,12
9,2
24,2
24,2
35,12
9,2
10,4
9,2
17,8
24,2
35,12
23,2
35,12
24,2
4,12
24,2
8,2
9,2
8,2
31,2
2,12
13,12
2,12
13,12
8,2
9,2
4,12
22,12
35,12
25,12
9,2
25,12
24,2
13,12
2,12
22,12
8,2
24,2
20,10
37,11
8,2
31,2
8,2
23,2
21,2
23,2
38,5
10,4
21,2
25,12
5,12
32,6
8,2
1,12
15,5
22,12
21,2
1,12
9,2
23,2
35,12
24,2
18,9
24,2
5,12
24,2
9,2
25,12
27,6
23,2
5,12
24,2
29,7
22,12
8,2
25,12
21,2
25,12
9,2
40,5
5,12
25,12
21,2
9,2
9,2
12,10
21,2
23,2
9,2
31,2
21,2
24,2
5,12
24,2
35,12
23,2
35,12
31,2
2,12
23,2
24,2
23,2
23,2
9,2
2,12
1,12
35,12
23,2
26,12
3,3
35,12
25,12
4,12
25,12
2,12
24,2
13,12
13,12
9,2
15,5
24,2
25,12
9,2
2,12
2,12
24,2
8,2
40,5
39,10
25,12
35,12
24,2
4,12
1,12
21,2
24,2
35,12
25,12
5,12
31,2
24,2
37,11
9,2
32,6
2,12
23,2
9,2
13,12
35,12
23,2
21,2
25,12
4,12
1,12
21,2
24,2
26,12
23,2
21,2
25,12
2,12
31,2
2,12
13,12
24,2
25,12
24,2
13,12
4,12
24,2
5,12
24,2
24,2
25,12
35,12
4,12
8,2
1,12
35,12
31,2
2,12
1,12
8,2
1,12
21,2
31,2
2,12
25,12
8,2
14,6
1,12
1,12
8,2
13,12
35,12
25,12
2,12
23,2
21,2
1,12
21,2
9,2
9,2
24,2
9,2
13,12
9,2
23,2
9,2
9,2
24,2
1,12
35,12
22,12
8,2
4,12
35,12
25,12
9,2
13,12
9,2
25,12
4,12
24,2
4,12
23,2
16,13
13,12
8,2
13,12
9,2
31,2
24,2
13,12
38,5
25,12
36,6
22,12
